name,age,gender,maths,science,english,country,year
Student_1,24,Female,76,86,33,USA,2015
Student_2,21,Female,92,42,85,India,2018
Student_3,28,Female,11,0,52,USA,2018
Student_4,25,Male,38,50,86,Canada,2015
Student_5,22,Female,65,23,50,UK,2023
Student_6,24,Female,95,98,2,UK,2017
Student_7,27,Female,12,23,41,Canada,2019
Student_8,20,Male,45,16,97,UK,2020
Student_9,24,Female,26,4,31,Japan,2022
Student_10,28,Male,16,19,50,USA,2020
Student_11,28,Male,94,20,84,India,2017
Student_12,25,Male,97,57,45,Canada,2020
Student_13,22,Male,59,30,20,Japan,2015
Student_14,21,Male,63,99,43,India,2018
Student_15,25,Male,87,10,10,India,2020
Student_16,25,Female,34,51,67,Canada,2021
Student_17,20,Male,69,14,0,Japan,2024
Student_18,23,Female,82,82,91,India,2017
Student_19,22,Female,29,6,62,India,2023
Student_20,19,Male,70,27,23,Japan,2021
Student_21,25,Female,73,50,98,UK,2015
Student_22,29,Female,95,57,12,India,2016
Student_23,23,Female,97,4,97,USA,2015
Student_24,19,Female,62,4,10,Japan,2023
Student_25,29,Male,27,93,99,India,2023
Student_26,22,Female,59,95,50,Canada,2021
Student_27,18,Male,78,7,16,USA,2024
Student_28,29,Female,93,63,98,India,2017
Student_29,27,Female,36,9,81,USA,2019
Student_30,23,Male,92,37,85,USA,2018
Student_31,29,Female,21,95,23,UK,2021
Student_32,26,Female,67,91,18,USA,2023
Student_33,18,Female,19,80,36,UK,2016
Student_34,28,Male,95,94,84,Japan,2022
Student_35,28,Female,99,7,7,UK,2023
Student_36,27,Male,67,24,27,Canada,2024
Student_37,29,Female,90,72,4,India,2024
Student_38,29,Male,63,65,16,Japan,2023
Student_39,20,Male,16,78,35,Japan,2024
Student_40,29,Female,11,49,18,Canada,2021
Student_41,24,Female,21,66,63,UK,2023
Student_42,21,Male,16,48,90,India,2023
Student_43,26,Male,9,35,97,UK,2017
Student_44,20,Female,64,67,10,USA,2018
Student_45,22,Male,21,77,53,UK,2016
Student_46,20,Female,89,40,44,Japan,2024
Student_47,24,Female,81,88,46,India,2017
Student_48,22,Female,49,61,11,UK,2019
Student_49,26,Female,13,9,20,India,2019
Student_50,24,Male,63,20,10,India,2020
Student_51,19,Female,46,35,91,USA,2021
Student_52,21,Male,28,11,4,USA,2021
Student_53,26,Female,75,90,80,Japan,2015
Student_54,29,Male,35,1,55,Canada,2016
Student_55,19,Female,98,12,19,India,2023
Student_56,27,Male,51,52,40,Canada,2024
Student_57,26,Male,75,31,45,Japan,2016
Student_58,27,Female,6,94,11,India,2020
Student_59,22,Female,28,15,69,India,2015
Student_60,19,Female,10,31,16,Canada,2017
Student_61,21,Female,32,31,18,UK,2016
Student_62,29,Male,5,97,25,USA,2017
Student_63,29,Female,78,10,47,UK,2019
Student_64,24,Male,31,9,51,Canada,2024
Student_65,29,Male,50,14,95,USA,2020
Student_66,25,Female,74,16,69,UK,2023
Student_67,20,Male,57,39,54,USA,2024
Student_68,18,Male,86,17,99,India,2018
Student_69,21,Male,25,54,74,UK,2021
Student_70,19,Male,97,72,32,USA,2020
Student_71,25,Female,45,24,61,USA,2016
Student_72,21,Female,97,58,87,USA,2024
Student_73,19,Female,28,77,22,UK,2022
Student_74,23,Female,3,88,14,Japan,2021
Student_75,23,Male,80,21,26,UK,2021
Student_76,27,Male,98,29,74,Canada,2022
Student_77,21,Female,12,83,63,UK,2015
Student_78,23,Female,38,84,80,USA,2015
Student_79,19,Female,14,43,50,India,2022
Student_80,27,Male,28,31,52,UK,2018
Student_81,29,Female,28,50,77,UK,2019
Student_82,19,Female,74,45,90,USA,2022
Student_83,27,Female,31,20,81,India,2019
Student_84,21,Male,1,98,91,India,2024
Student_85,25,Male,46,31,50,Canada,2018
Student_86,24,Male,77,93,46,UK,2020
Student_87,29,Male,83,38,3,India,2019
Student_88,26,Male,21,11,6,India,2021
Student_89,25,Male,74,46,34,Japan,2024
Student_90,22,Male,26,17,47,Japan,2021
Student_91,19,Male,66,20,72,India,2018
Student_92,22,Female,80,12,71,Canada,2019
Student_93,25,Female,55,20,44,India,2017
Student_94,27,Male,91,7,80,USA,2018
Student_95,26,Male,92,45,80,UK,2018
Student_96,29,Female,20,6,96,Canada,2017
Student_97,29,Male,46,22,95,USA,2024
Student_98,29,Male,79,95,71,Canada,2019
Student_99,26,Male,58,74,18,USA,2019
Student_100,18,Female,83,85,62,UK,2021
Student_101,26,Female,5,21,37,UK,2018
Student_102,24,Female,18,88,66,Japan,2018
Student_103,26,Female,56,21,58,USA,2023
Student_104,25,Female,68,91,68,Japan,2020
Student_105,18,Male,2,28,12,USA,2018
Student_106,29,Female,0,12,46,Japan,2016
Student_107,25,Male,57,81,60,UK,2020
Student_108,25,Male,37,1,30,Canada,2016
Student_109,28,Female,14,28,79,Japan,2019
Student_110,20,Female,33,84,95,USA,2020
Student_111,18,Male,60,78,21,USA,2018
Student_112,25,Male,34,51,92,UK,2017
Student_113,20,Male,63,26,85,USA,2021
Student_114,20,Female,24,49,42,India,2016
Student_115,18,Female,23,94,66,Canada,2020
Student_116,28,Female,11,78,53,Japan,2018
